GRAINHOUSE,GH DESCRIPTION,INVOICE DESCRIPTION,GRADE,COST FOR,,DESCRIPTION
AFGRI,MAIZE YELLOW,MBIC: 0001-YM1,YM1,CLEANING AND SIEVIN,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0001-YM2,YM2,CLEANING AND SIEVIN,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0010-YM1,YM1,CERTIFICATE,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0010-YM2,YM2,CERTIFICATE,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0011-YM1,,,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0012-YM1,YM1,DAY STORAGE,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0012-YM2,YM2,DAY STORAGE,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0013-YM1,YM1,HANDLING,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0013-YM2,YM2,HANDLING,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0018-YM1,YM1,ESC LEVY,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0018-YM2,YM2,ESC LEVY,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0044-YM1,YM1,SEASON TARIFF,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0044-YM2,YM2,SEASON TARIFF,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0051-YM1,YM1,STATUTORY LEVY,,YELLOW MAIZE
AFGRI,MAIZE YELLOW,MBIC: 0051-YM2,YM2,STATUTORY LEVY,,YELLOW MAIZE
AFGRI,MAIZE WHITE,MBIC: 0001-WM1,WM1,CLEANING AND SIEVIN,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0001-WM2,WM2,CLEANING AND SIEVIN,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0010-WM1,WM1,CERTIFICATE,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0010-WM2,WM2,CERTIFICATE,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0011-WM1,,,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0012-WM1,WM1,DAY STORAGE,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0012-WM2,WM2,DAY STORAGE,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0013-WM1,WM1,HANDLING,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0013-WM2,WM2,HANDLING,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0018-WM1,WM1,ESC LEVY,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0018-WM2,WM2,ESC LEVY,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0044-WM1,WM1,SEASON TARIFF,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0044-WM2,WM2,SEASON TARIFF,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0051-WM1,WM1,STATUTORY LEVY,,WHITE MAIZE
AFGRI,MAIZE WHITE,MBIC: 0051-WM2,WM2,STATUTORY LEVY,,WHITE MAIZE
