Silo Name,Folio Account Number,Supplier,Client Company,Invoice number,Document Type,Invoice Date,Units,Price,Total Excl,Vat,Total Incl,Total Invoice,Item Description
,UNI001,DOORNKORP SILO (PTY) LTD,Unigrain,IN100039,Tax Invoice,2024-10-31,,,4452.0,667.8,5119.8,5119.8,"Stoorkoste - Unigrain
October 2024"
,UNI001,DOORNKORP SILO (PTY) LTD,Unigrain,IC100005,Credit Note,2024-06-30,326.52,6.75,2176.81,326.52,2503.33,2503.33,"Stoorkoste - Unigrain
YM1 May 2024"
,400-401664,Senwes,UNIGRAIN PTY LTD,9552018724,Tax Invoice,2024-05-08,6.56,72.89,478.16,71.72,548.88,548.88,Verwyder Giftige Sade Soja 2-10%
Oberholzer Silo,400-424782,Senwes,,9551859909,Tax Invoice,02.05.2024,36.96,,90.18,13.53,103.71,103.71,Dagopberging witmielies
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,16.867,,,0.0,0.0,,Voergars Genie
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Coctail
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Agulhas
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Belgravia
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Devron
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Erika
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Elim
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Errigal
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Grace
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Hessekwa
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Irina
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Overture
Viljoenskroon Silo nr 3,400-424782,Senwes,NEXGRO BEMARKING PTY LTD,9555999098,Tax Credit Memo,15.01.2025,73.149,92.0,6729.71,1009.46,7739.17,7739.17,SACTA Heffing Soja
Leeudoringstad Silo,530268,UNIGRAIN PTY LTD,,9551050719,Tax Credit Memo,2024-04-02,34000,5194.72,176620.48,0.0,176620.48,176620.48,Wit mielies graad 1 KP_VRD
Middelvlei Silo,610-534117,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9549307137,Tax Credit Memo,2022-12-22,1.0,3048.62,3048.62,457.29,3505.91,3505.91,Hantering gars
,00613,Silostrat (Pty) Ltd,Unigrain (Pty) Ltd.,INV66370,TAX INVOICE,02 Sep 2024,34.0,1.14,38.76,5.81,44.57,44.57,"STOOR, Mielies Dag Stoor - 2024 - Helpmekaar - Witmielies"
Viljoenskroon Silo nr 3,400-424782,Senwes,NEXGRO BEMARKING PTY LTD,9555999098,Tax Credit Memo,15.01.2025,73.149,92.0,6729.71,1009.46,7739.17,7739.17,SACTA Heffing Soja
,GC0058,Procuro Grain (Pty) Ltd,NEXGRO BEMARKING PTY LTD,417,AR Credit Note,13/01/2025,17.04,75.0,1278.0,191.7,1469.7,1469.7,Skoonmaakkoste koring
,GC0020,UNIGRAIN,,2719,Tax Invoice,31/12/2024,395.643,1.3,514.34,77.15,591.49,591.49,Dagtarief koring
,WM1,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0912,Tax Invoice,2024-12-31,1.0,0.55,0.55,0.08,0.63,0.63,Dec2024 Jaarstoor
Featherbrooke,1609,Milne Trust,Nexgro Bemarking,1609,FAKTUUR,30.06.2024,254.446,84.0,21373.46,3206.02,24579.48,184808.78,Handling IN
Featherbrooke,1609,Milne Trust,Nexgro Bemarking,1609,FAKTUUR,30.06.2024,995.213,140.0,139329.82,20899.47,160229.29,184808.78,Annual Storage OUT
,9052Q1,UNIGRAIN BARLEY,Graan Protem,561452,Tax Credit note,06/11/2024,-48.36,2.0,-96.72,-14.51,-111.23,-111.23,Oordragtarief gars Graan Protem
,9052,UNIGRAIN BARLEY,SENTRAAL-SUID KOOPERASIE Bpk.,26939600,Belasting faktuur,31/10/2024,48.36,2.0,96.72,14.51,111.23,111.23,Oordragtarief gars Graan Protem
,4670140054,Unigrain (Pty) Ltd,,INV0000253,Tax Invoice,2024-10-31,1,32167.24,32167.24,4825.09,36992.33,36992.33,Stoorkostes 459.5321
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,,,64.4,9.66,74.06,74.06,
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,1.0,30.8,30.8,4.62,35.42,74.06,0.220t Slip P227
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,1.0,33.6,33.6,5.04,38.64,74.06,0.240T Slip P228
,,NEXGRO BEMARKING (PTY) LTD,,20241001 2460101658,Belastingfaktuur,2024-10-01,,44.0,44.0,6.6,50.6,,ELEKTRONIESE KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241001 2460827171,Belastingfaktuur,2024-10-01,,93.62,93.62,14.04,107.66,,SERTIFIKAAT KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241018 2430101048,Belastingfaktuur,2024-10-18,,168.0,168.0,25.2,193.2,,ELEKTRONIESE KOSTE
