Silo Name,Folio Account Number,Supplier,Client Company,Invoice number,Document Type,Invoice Date,Units,Price,Total Excl,Vat,Total Incl,Total Invoice,Item Description
,23559,UNIGRAIN COMMODITIES,KAAP AGRI,023559/001,Credit Note,2024-01-31,,,,1000,-669.25,-669.25,-100.39,-769.64,-769.64,SILODIENS INKOM: Silokoste op Ser
,V000068UNI,UNIGRAIN (PTY) LTD,,5100012367,Credit Note,2024-07-10,,,,-4.326,-35814.95,-35814.95,-5372.24,-41187.19,-41187.19,SBLOM LEWERINGS NWI KONTRAK
,V000068UNI,UNIGRAIN (PTY) LTD,,5100012367,Credit Note,2024-07-10,,,,-22.186,-186384.59,-186384.59,-27957.69,-214342.28,-214342.28,SBLOM LEWERINGS NWI KONTRAK
,V000068UNI,UNIGRAIN (PTY) LTD,,5100012367,Credit Note,2024-07-10,,,,-21.889,-181437.92,-181437.92,-27215.69,-208653.61,-208653.61,SBLOM LEWERINGS NWI KONTRAK
,V000068UNI,UNIGRAIN (PTY) LTD,,5100012367,Credit Note,2024-07-10,,,,-15.508,-128654.37,-128654.37,-19298.16,-147952.53,-147952.53,SBLOM LEWERINGS NWI KONTRAK
Kendal silo,2811894,UNIGRAIN,AFGRI,9001807690,Invoice,2024-04-30,YM1,YELLOW MAIZE,SEASON TARIFF,1018.895,143.23,145936.33,21890.45,167826.78,167826.78,MAIZE YELLOW SEASON TARIFF KOPER KONTRAKTE DocNo: 6039698 MBIC: 0044-YM1 FOLIO: 2811894
Kendal silo,2811894,AFGRI Grain Silo Company (Pty) Ltd,UNIGRAIN (PTY) LTD,9001807690,Invoice,2024-04-30,YM1,YELLOW MAIZE,SEASON TARIFF,1018.895,143.23,145936.33,21890.45,167826.78,167826.78,MAIZE YELLOW SEASON TARIFF KOPER KONTRAKTE DocNo: 6039698 MBIC: 0044-YM1 FOLIO: 2811894
Kendal silo,2811894,UNIGRAIN,AFGRI,9001811822,Credit Note,2024-05-03,YM1,YELLOW MAIZE,SEASON TARIFF,-1018.895,-143.23,-145936.33,-21890.45,-167826.78,-167826.78,MAIZE YELLOW SEASON TARIFF SEISOENSTARIEF 30/4
Bronkhorstspruit Siloco,9405257,AFGRI Grain Silo Company (Pty) Ltd,NEXGRO BERMARKING (PTY) LTD,9001862306,Invoice,2024-10-31,,SOYA BEAN,,1000,-9.9,-9.9,-1.49,-11.39,-11.39,SOYA BEAN STORAGE COST
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,Invoice,2024-04-08,,FEED BARLEY,,28.149,22.95,646.02,96.9,742.92,742.92,FEED BARLEY - GRADE 1
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,Invoice,2024-04-08,,FEED BARLEY,STORAGE CHARGE,,,646.02,96.9,742.92,742.92,STORAGE CHARGE
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,Invoice,2024-04-08,,FEED BARLEY,DAY STORAGE,28.149,1.35,646.02,96.9,742.92,742.92,FEED BARLEY:28.149 TON
VLAKLAAGTE GRAIN DEPOT,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,Invoice,2024-05-09,SB1,SOYA,,18.064,25.2,675.58,101.34,776.92,776.92,SOYA - SB1
VLAKLAAGTE GRAIN DEPOT,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,Invoice,2024-05-09,SB1,SOYA,,8.745,25.2,675.58,101.34,776.92,776.92,SOYA - SB1
VLAKLAAGTE GRAIN DEPOT,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,Invoice,2024-05-09,,,STORAGE CHARGE,26.809,1.2,675.58,101.34,776.92,776.92,VLAKLAAGTE SOYABEANS: 26.809 MT DAY STORAGE @ R1.20 TO 09/05/2024
,NEX021,Nexgro Holfontein (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,IN02008,Invoice,2024-12-31,,CANOLA,,1000.0,3889.67,3889.67,583.45,4473.12,9536.34,Canola Grade 1 Dec2024
,NEX021,Nexgro Holfontein (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,IN02008,Invoice,2024-12-31,,,Hanteringskoste Nov2024,29.352,150.0,4402.8,660.42,5063.22,9536.34,Hanteringskoste Nov2024
,NEX021,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0911,Invoice,2024-12-31,WM1,WHITE MAIZE,Storage,1000,33383.14,33383.14,5007.47,38390.61,38390.61,Storage WM1 Dec2024
Die Bult,NEX021,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0912,Invoice,2024-12-31,WM1,WHITE MAIZE,,1000,0.55,0.55,0.08,0.63,0.63,Dec2024 Jaarstoor
,WM1,Grain Handlers (Pty) Ltd,Unigrain (Pty) Ltd,GH-IN1613,Invoice,2024-10-31,WM1,,,1.0,377287.01,377287.01,56593.05,433880.06,466716.18,Dagstoor WM1 Oct2024
,WM1,Grain Handlers (Pty) Ltd,Unigrain (Pty) Ltd,GH-IN1613,Invoice,2024-10-31,WM1,,,2379.429,12.0,28553.15,4282.97,32836.12,466716.18,Belt Dispatch fees WM1 Oct2024
Goedgedacht Depot,4910211905,COFCO International South Africa (PTY) LTD,NEXGRO BEMARKING (PTY) LTD,24/1/07881,Invoice,2024-07-19,,SOYA,JULY STORAGE FEES,1000,6272.74,6272.74,940.91,7213.65,7213.65,Silobags Storage
,N0560162,UNIGRAIN,VKB,PSC004426,Credit Note,2024-07-24,,WHITE MAIZE,Service Service General White Maize/Non,,-141.0,-15163.14,-2274.47,-17437.61,-17437.61,Delivered
Waagkraal Depot,4770293480,Waagkraal Depot (Pty) Ltd,Nexgro Bemarking (Pty) Ltd,CRN0000015,Credit Note,2024-05-21,,Surplus Soya's,,36.023,-8653.0,-311707.02,-0.0,-311707.02,-311707.02,SPS - Surplus Soya's
,IN100017,UNIGRAIN,,IC100005,Credit Note,2024-06-30,YM1,YELLOW MAIZE,,,-2176.81,-2176.81,-326.52,-2503.33,-2503.33,Stoorkoste - Unigrain YM1 May 2024
,UNI001,Hennie de Bruin Trust,Unigrain (Pty) Ltd,IC100008,Credit Note,2024-06-30,WM1,WHITE MAIZE,,,-946.38,-69628.51,-10444.28,-80072.79,-80072.79,Dagstoor WM1 Apr
,UNI001,Hennie de Bruin Trust,Unigrain (Pty) Ltd,IC100008,Credit Note,2024-06-30,WM1,WHITE MAIZE,,,-68682.13,-69628.51,-10444.28,-80072.79,-80072.79,Dagstoor WM1 Mei
Featherbrooke,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,2024-06-30,,,,0.22,-30.8,-30.8,-4.62,-35.42,-74.06,0.220t Slip P227
Featherbrooke,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,2024-06-30,,,,0.24,-33.6,-33.6,-5.04,-38.64,-74.06,0.240T Slip P228
,UNI001,DOORNKORP SILO (PTY) LTD,Unigrain,IN100039,Invoice,2024-10-31,WM1,WHITE MAIZE,Stoorkoste,,,4452.0,667.8,5119.8,5119.8,Stoorkoste - Unigrain October 2024
Bultfontein Depot,4770293480,Milne Trust,Nexgro Bemarking,1609,Invoice,2024-06-30,,,Handling,254.446,84.0,21373.46,3206.02,24579.48,184808.78,Handling IN
Bultfontein Depot,4770293480,Milne Trust,Nexgro Bemarking,1609,Invoice,2024-06-30,,,Annual Storage,995.213,140.0,139329.82,20899.47,160229.29,184808.78,Annual Storage OUT
,NEX021,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0805,Tax Credit Note,2024-09-30,,,,11000.0,-3.0,-33000.0,-4950.0,-37950.0,-37950.0,Folio transfer & Certificate Issue fees/Nexgro Bemarkir
Doornkorp Silo (KB),NEX021,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0803,Invoice,2024-09-30,SB,YELLOW MAIZE,,15.7,3.0,47.1,7.07,54.17,54.17,SB Doornkorp Sept2024
